zoom	 resolution, m/px	 scale 96 dpi	 1 screen cm is	 scale 120 dpi
0	 156543.03	 			1 : 554 678 932	 5547 km	 1 : 739 571 909
1	 78271.52	 			1 : 277 339 466	 2773 km	 1 : 369 785 954
2	 39135.76	 			1 : 138 669 733	 1337 km	 1 : 184 892 977
3	 19567.88	 			1 : 69 334 866	 693 km	 1 : 92 446 488
4	 9783.94	 			1 : 34 667 433	 347 km	 1 : 46 223 244
5	 4891.97	 			1 : 17 333 716	 173 km	 1 : 23 111 622
6	 2445.98	 			1 : 8 666 858	 86.7 km	 1 : 11 555 811
7	 1222.99	 			1 : 4 333 429	 43.3 km	 1 : 5 777 905
8	 611.50	 				1 : 2 166 714	 21.7 km	 1 : 2 888 952
9	 305.75	 				1 : 1 083 357	 10.8 km	 1 : 1 444 476
10	 152.87	 				1 : 541 678	 5.4 km	 1 : 722 238
11	 76.437	 				1 : 270 839	 2.7 km	 1 : 361 119
12	 38.219	 				1 : 135 419	 1.4 km	 1 : 180 559
13	 19.109	 				1 : 67 709	 677 m	 1 : 90 279
14	 9.5546	 				1 : 33 854	 339 m	 1 : 45 139
15	 4.7773	 				1 : 16 927	 169 m	 1 : 22 569
16	 2.3887	 				1 : 8 463	 84.6 m	 1 : 11 284
17	 1.1943	 				1 : 4 231	 42.3 m	 1 : 5 642
18	 0.5972		 			1 : 2 115	 21.2 m	 1 : 2 821
